27/11/2021 4:26:01 PM,Loaded Scene 3
27/11/2021 4:26:01 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:04 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:06 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:09 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:11 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:14 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:17 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:19 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:22 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:24 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:27 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:28 PM,Spawned Normal Car!
27/11/2021 4:26:29 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:26:32 PM,User Location x: -16.38787 y: -23.87677
27/11/2021 4:26:34 PM,User Location x: -15.58727 y: -26.28662
27/11/2021 4:26:35 PM,Spawned Auto Car!
27/11/2021 4:26:37 PM,User Location x: -15.18234 y: -26.09694
27/11/2021 4:26:39 PM,User Location x: -17.35478 y: -25.28308
27/11/2021 4:26:42 PM,User Location x: -14.8538 y: -29.1722
27/11/2021 4:26:42 PM,Spawned Auto Car!
27/11/2021 4:26:44 PM,User Location x: -14.06944 y: -32.60552
27/11/2021 4:26:46 PM,Spawned Auto Car!
27/11/2021 4:26:47 PM,User Location x: -17.68237 y: -30.62821
27/11/2021 4:26:48 PM,Spawned Auto Car!
27/11/2021 4:26:48 PM,Spawned Auto Car!
27/11/2021 4:26:49 PM,Spawned Auto Car!
27/11/2021 4:26:49 PM,User Location x: -15.18719 y: -32.36011
27/11/2021 4:26:49 PM,Spawned Auto Car!
27/11/2021 4:26:50 PM,Spawned Auto Car!
27/11/2021 4:26:52 PM,User Location x: -14.26281 y: -31.9271
27/11/2021 4:26:53 PM,Spawned Auto Car!
27/11/2021 4:26:54 PM,User Location x: -16.51319 y: -32.49599
27/11/2021 4:26:56 PM,Spawned Auto Car!
27/11/2021 4:26:57 PM,User Location x: -16.51319 y: -32.50758
27/11/2021 4:26:57 PM,Spawned Auto Car!
27/11/2021 4:26:59 PM,User Location x: -16.51319 y: -32.51731
27/11/2021 4:27:00 PM,Spawned Auto Car!
27/11/2021 4:27:00 PM,Spawned Auto Car!
27/11/2021 4:27:00 PM,Spawned Auto Car!
27/11/2021 4:27:02 PM,User Location x: -17.34285 y: -30.75226
27/11/2021 4:27:04 PM,Leaving Scene 3!
####################,###################
####################,###################
27/11/2021 4:27:20 PM,Loaded Scene 3
27/11/2021 4:27:20 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:27:22 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:27:25 PM,User Location x: -19.17874 y: -31.39261
27/11/2021 4:27:26 PM,Spawned Auto Car!
27/11/2021 4:27:27 PM,User Location x: -18.17043 y: -32.56263
27/11/2021 4:27:29 PM,Spawned Auto Car!
27/11/2021 4:27:29 PM,Spawned Auto Car!
27/11/2021 4:27:30 PM,User Location x: -17.17024 y: -33.70429
27/11/2021 4:27:32 PM,User Location x: -14.57715 y: -35.19422
27/11/2021 4:27:35 PM,User Location x: -15.66132 y: -34.6504
27/11/2021 4:27:37 PM,User Location x: -17.58711 y: -33.89704
27/11/2021 4:27:38 PM,Spawned Auto Car!
27/11/2021 4:27:40 PM,User Location x: -17.58711 y: -33.89704
27/11/2021 4:27:41 PM,Spawned Auto Car!
27/11/2021 4:27:42 PM,User Location x: -16.82714 y: -34.98889
27/11/2021 4:27:45 PM,User Location x: -14.9418 y: -35.43427
27/11/2021 4:27:48 PM,User Location x: -16.10207 y: -35.71075
27/11/2021 4:27:50 PM,User Location x: -14.39535 y: -37.12974
27/11/2021 4:27:53 PM,User Location x: -14.6124 y: -32.46549
27/11/2021 4:27:55 PM,User Location x: -18.65761 y: -30.1083
27/11/2021 4:27:58 PM,User Location x: -13.57908 y: -30.39778
27/11/2021 4:28:00 PM,User Location x: -20.85291 y: -19.11651
27/11/2021 4:28:03 PM,User Location x: -20.87707 y: -19.11645
27/11/2021 4:28:05 PM,User Location x: -20.8578 y: -18.7413
27/11/2021 4:28:08 PM,User Location x: -16.96529 y: -9.651076
27/11/2021 4:28:08 PM,Leaving Scene 3!
####################,###################
####################,###################
27/11/2021 4:46:42 PM,Loaded Scene 3
27/11/2021 4:46:42 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:46:45 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:46:47 PM,Spawned Auto Car!
27/11/2021 4:46:48 PM,User Location x: -21.40685 y: -23.18464
27/11/2021 4:46:49 PM,Spawned Auto Car!
27/11/2021 4:46:50 PM,Spawned Auto Car!
27/11/2021 4:46:50 PM,User Location x: -20.30595 y: -30.65736
27/11/2021 4:46:52 PM,Spawned Auto Car!
27/11/2021 4:46:52 PM,Spawned Auto Car!
27/11/2021 4:46:53 PM,Spawned Auto Car!
27/11/2021 4:46:53 PM,User Location x: -18.78653 y: -32.49402
27/11/2021 4:46:53 PM,Spawned Auto Car!
27/11/2021 4:46:53 PM,Spawned Auto Car!
27/11/2021 4:46:55 PM,User Location x: -14.60012 y: -32.94328
27/11/2021 4:46:58 PM,User Location x: -17.20201 y: -33.77287
27/11/2021 4:47:00 PM,User Location x: -15.14961 y: -33.10289
27/11/2021 4:47:03 PM,User Location x: -13.96082 y: -32.98378
27/11/2021 4:47:05 PM,User Location x: -14.9892 y: -29.91358
27/11/2021 4:47:08 PM,User Location x: -18.67165 y: -27.13626
27/11/2021 4:47:10 PM,User Location x: -18.67165 y: -27.13626
27/11/2021 4:47:12 PM,Leaving Scene 3!
####################,###################
####################,###################
27/11/2021 4:49:08 PM,Loaded Scene 3
27/11/2021 4:49:08 PM,User Location x: -19.66506 y: -12.65
27/11/2021 4:49:11 PM,Spawned Auto Car!
27/11/2021 4:49:11 PM,User Location x: -18.45283 y: -17.50568
27/11/2021 4:49:14 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:16 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:19 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:21 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:24 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:26 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:29 PM,User Location x: -17.05418 y: -21.49506
27/11/2021 4:49:31 PM,Spawned Auto Car!
27/11/2021 4:49:31 PM,User Location x: -16.83325 y: -21.40606
27/11/2021 4:49:33 PM,Spawned Auto Car!
27/11/2021 4:49:34 PM,Spawned Auto Car!
27/11/2021 4:49:34 PM,User Location x: -18.65042 y: -26.52242
27/11/2021 4:49:34 PM,Spawned Auto Car!
27/11/2021 4:49:34 PM,Spawned Auto Car!
27/11/2021 4:49:36 PM,User Location x: -18.82037 y: -31.96251
27/11/2021 4:49:38 PM,Spawned Auto Car!
27/11/2021 4:49:39 PM,User Location x: -18.68404 y: -31.50218
27/11/2021 4:49:40 PM,Spawned Auto Car!
27/11/2021 4:49:41 PM,Spawned Auto Car!
27/11/2021 4:49:41 PM,Spawned Auto Car!
27/11/2021 4:49:41 PM,Spawned Auto Car!
27/11/2021 4:49:41 PM,User Location x: -18.68404 y: -31.50218
27/11/2021 4:49:44 PM,User Location x: -18.68404 y: -31.50218
27/11/2021 4:49:46 PM,User Location x: -18.40516 y: -31.33226
27/11/2021 4:49:49 PM,User Location x: -14.26606 y: -35.88727
27/11/2021 4:49:51 PM,User Location x: -14.16063 y: -35.87973
27/11/2021 4:49:54 PM,User Location x: -13.68133 y: -29.93008
27/11/2021 4:49:56 PM,User Location x: -15.30835 y: -29.38933
27/11/2021 4:49:59 PM,User Location x: -13.46389 y: -8.559705
27/11/2021 4:50:02 PM,User Location x: -14.0921 y: -10.27403
27/11/2021 4:50:04 PM,User Location x: -14.38574 y: -1.81356
27/11/2021 4:50:07 PM,User Location x: -14.03241 y: 11.25369
27/11/2021 4:50:09 PM,User Location x: -14.03241 y: 11.25369
27/11/2021 4:50:12 PM,User Location x: -18.04141 y: 8.898007
27/11/2021 4:50:14 PM,User Location x: -16.81559 y: -1.896133
27/11/2021 4:50:17 PM,User Location x: -18.50492 y: -14.8367
27/11/2021 4:50:19 PM,User Location x: -18.09858 y: -33.72464
27/11/2021 4:50:22 PM,User Location x: -17.8321 y: -41.91225
27/11/2021 4:50:24 PM,User Location x: -21.16961 y: -34.1646
27/11/2021 4:50:27 PM,User Location x: -17.36992 y: -35.34694
27/11/2021 4:50:29 PM,User Location x: -17.94626 y: -33.0876
27/11/2021 4:50:32 PM,User Location x: -17.94626 y: -33.0876
27/11/2021 4:50:32 PM,Spawned Auto Car!
27/11/2021 4:50:34 PM,User Location x: -17.94626 y: -33.0876
27/11/2021 4:50:37 PM,User Location x: -17.94626 y: -33.0876
27/11/2021 4:50:39 PM,User Location x: -17.94293 y: -33.08485
27/11/2021 4:50:42 PM,User Location x: -14.46008 y: -19.33832
27/11/2021 4:50:44 PM,User Location x: -14.14456 y: -7.619825
27/11/2021 4:50:47 PM,User Location x: -18.34068 y: -12.07512
27/11/2021 4:50:49 PM,User Location x: -18.33859 y: -12.16696
27/11/2021 4:50:50 PM,Leaving Scene 3!
####################,###################
####################,###################
27/11/2021 5:19:16 PM,Loaded Scene 5
27/11/2021 5:19:16 PM,User Location x: 27 y: -32
27/11/2021 5:19:19 PM,User Location x: 24.53752 y: -33.0979
27/11/2021 5:19:21 PM,User Location x: 28.15241 y: -25.83863
27/11/2021 5:19:22 PM,Rain Ended
27/11/2021 5:19:24 PM,User Location x: 30.64959 y: -25.99023
27/11/2021 5:19:26 PM,User Location x: 23.29743 y: -26.26306
27/11/2021 5:19:26 PM,Rain Started
27/11/2021 5:19:27 PM,Rain Ended
27/11/2021 5:19:28 PM,Rain Started
27/11/2021 5:19:28 PM,Rain Ended
27/11/2021 5:19:28 PM,Rain Started
27/11/2021 5:19:28 PM,Rain Ended
27/11/2021 5:19:28 PM,Rain Started
27/11/2021 5:19:29 PM,Rain Ended
27/11/2021 5:19:29 PM,Rain Started
27/11/2021 5:19:29 PM,User Location x: 23.29743 y: -26.26306
27/11/2021 5:19:29 PM,Rain Ended
27/11/2021 5:19:29 PM,Triggered Traffic Light!
27/11/2021 5:19:31 PM,Triggered Traffic Light!
27/11/2021 5:19:31 PM,User Location x: 23.29743 y: -26.26306
27/11/2021 5:19:31 PM,Triggered Traffic Light!
27/11/2021 5:19:32 PM,Triggered Traffic Light!
27/11/2021 5:19:32 PM,Triggered Traffic Light!
27/11/2021 5:19:33 PM,Rain Started
27/11/2021 5:19:33 PM,Rain Ended
27/11/2021 5:19:33 PM,Rain Started
27/11/2021 5:19:33 PM,Rain Ended
27/11/2021 5:19:33 PM,Rain Started
27/11/2021 5:19:34 PM,Rain Ended
27/11/2021 5:19:34 PM,Night Triggered
27/11/2021 5:19:34 PM,User Location x: 23.29743 y: -26.26306
27/11/2021 5:19:34 PM,Day Triggered
27/11/2021 5:19:36 PM,Leaving Scene 5!
####################,###################
####################,###################
27/11/2021 5:19:39 PM,Loaded Scene 6
27/11/2021 5:19:39 PM,User Location x: -1.61 y: -39.17
27/11/2021 5:19:42 PM,User Location x: -1.61 y: -39.17
27/11/2021 5:19:42 PM,Leaving Scene 6!
####################,###################
####################,###################
27/11/2021 5:19:43 PM,Loaded Scene 5
27/11/2021 5:19:43 PM,User Location x: 27 y: -32
27/11/2021 5:19:45 PM,User Location x: 26.51357 y: -23.22784
27/11/2021 5:19:48 PM,User Location x: 28.59084 y: -23.27654
27/11/2021 5:19:48 PM,Spawned Normal Car!
27/11/2021 5:19:48 PM,Spawned Normal Car!
27/11/2021 5:19:49 PM,Spawned Auto Car!
27/11/2021 5:19:49 PM,Spawned Auto Car!
27/11/2021 5:19:49 PM,Spawned Auto Car!
27/11/2021 5:19:49 PM,Spawned Auto Car!
27/11/2021 5:19:50 PM,User Location x: 28.98957 y: -23.11298
27/11/2021 5:19:53 PM,User Location x: 23.86356 y: -21.46468
27/11/2021 5:19:55 PM,User Location x: 24.2738 y: -21.57147
27/11/2021 5:19:57 PM,Rain Ended
27/11/2021 5:19:57 PM,Rain Started
27/11/2021 5:19:57 PM,Rain Ended
27/11/2021 5:19:58 PM,Rain Started
27/11/2021 5:19:58 PM,Rain Ended
27/11/2021 5:19:58 PM,Rain Started
27/11/2021 5:19:58 PM,User Location x: 25.18683 y: -23.77892
27/11/2021 5:19:58 PM,Rain Ended
27/11/2021 5:20:00 PM,User Location x: 23.10135 y: -30.04274
27/11/2021 5:20:03 PM,User Location x: 21.61318 y: -26.55805
27/11/2021 5:20:06 PM,User Location x: 24.47252 y: -27.28625
27/11/2021 5:20:08 PM,Leaving Scene 5!
####################,###################
####################,###################
27/11/2021 5:20:23 PM,Loaded Scene 5
27/11/2021 5:20:23 PM,User Location x: 27 y: -32
27/11/2021 5:20:27 PM,User Location x: 23.52864 y: -26.79905
27/11/2021 5:20:27 PM,Rain Ended
27/11/2021 5:20:28 PM,Rain Started
27/11/2021 5:20:29 PM,User Location x: 26.6301 y: -28.82838
27/11/2021 5:20:31 PM,Leaving Scene 5!
####################,###################
####################,###################
27/11/2021 5:21:28 PM,Loaded Scene 5
27/11/2021 5:21:28 PM,User Location x: 27 y: -32
27/11/2021 5:21:32 PM,User Location x: 25.42036 y: -24.8429
27/11/2021 5:21:32 PM,Spawned Auto Car!
27/11/2021 5:21:34 PM,User Location x: 30.87791 y: -27.3492
27/11/2021 5:21:35 PM,Spawned Auto Car!
27/11/2021 5:21:35 PM,Spawned Auto Car!
27/11/2021 5:21:35 PM,Spawned Auto Car!
27/11/2021 5:21:35 PM,Spawned Auto Car!
27/11/2021 5:21:35 PM,Spawned Auto Car!
27/11/2021 5:21:37 PM,User Location x: 45.17974 y: -24.75602
27/11/2021 5:21:39 PM,User Location x: 57.1782 y: -16.5517
27/11/2021 5:21:42 PM,User Location x: 66.63029 y: -12.86026
27/11/2021 5:21:44 PM,User Location x: 65.68811 y: -13.06642
27/11/2021 5:21:47 PM,User Location x: 65.68811 y: -13.0663
27/11/2021 5:21:49 PM,User Location x: 65.68811 y: -13.06618
27/11/2021 5:21:52 PM,User Location x: 62.91869 y: -11.03073
27/11/2021 5:21:54 PM,User Location x: 60.83562 y: -12.96356
27/11/2021 5:21:57 PM,User Location x: 48.751 y: -13.51592
27/11/2021 5:21:59 PM,User Location x: 47.67909 y: -10.64828
27/11/2021 5:22:02 PM,User Location x: 39.61934 y: -13.77714
27/11/2021 5:22:04 PM,User Location x: 45.69102 y: -13.23822
27/11/2021 5:22:06 PM,Leaving Scene 5!
####################,###################
####################,###################
27/11/2021 5:23:40 PM,Loaded Scene 5
27/11/2021 5:23:40 PM,User Location x: 27 y: -32
27/11/2021 5:23:43 PM,Spawned Auto Car!
27/11/2021 5:23:43 PM,Spawned Auto Car!
27/11/2021 5:23:43 PM,User Location x: 29.32933 y: -23.29034
27/11/2021 5:23:44 PM,Spawned Auto Car!
27/11/2021 5:23:44 PM,Spawned Auto Car!
27/11/2021 5:23:46 PM,User Location x: 39.75886 y: -16.3391
27/11/2021 5:23:48 PM,User Location x: 57.47855 y: -16.05876
27/11/2021 5:23:51 PM,User Location x: 78.40147 y: -16.03112
27/11/2021 5:23:54 PM,User Location x: 69.33577 y: -17.76685
27/11/2021 5:23:56 PM,User Location x: 60.75787 y: -26.60437
27/11/2021 5:23:56 PM,Leaving Scene 5!
####################,###################
####################,###################
